"COUNTRY","Country","PAYP","Pay period","TIME","Time","Unit Code","Unit","PowerCode Code","PowerCode","Reference Period Code","Reference Period","Value","Flag Codes","Flags"
"CAN","Canada","H","Hourly","2010","2010","CAD","Canadian Dollar","0","units",,,9.35,,
"CAN","Canada","H","Hourly","2011","2011","CAD","Canadian Dollar","0","units",,,9.65,,
"CAN","Canada","H","Hourly","2012","2012","CAD","Canadian Dollar","0","units",,,9.99,,
"CAN","Canada","H","Hourly","2013","2013","CAD","Canadian Dollar","0","units",,,10.14,,
"CAN","Canada","H","Hourly","2014","2014","CAD","Canadian Dollar","0","units",,,10.4,,
"PRT","Portugal","M","Monthly","2010","2010","EUR","Euro","0","units",,,475,,
"PRT","Portugal","M","Monthly","2011","2011","EUR","Euro","0","units",,,485,,
"PRT","Portugal","M","Monthly","2012","2012","EUR","Euro","0","units",,,485,,
"PRT","Portugal","M","Monthly","2013","2013","EUR","Euro","0","units",,,485,,
"PRT","Portugal","M","Monthly","2014","2014","EUR","Euro","0","units",,,490,,
"NLD","Netherlands","A","Annual","2010","2010","EUR","Euro","0","units",,,18297,,
"NLD","Netherlands","A","Annual","2011","2011","EUR","Euro","0","units",,,18533,,
"NLD","Netherlands","A","Annual","2012","2012","EUR","Euro","0","units",,,18814,,
"NLD","Netherlands","A","Annual","2013","2013","EUR","Euro","0","units",,,19044,,
"NLD","Netherlands","A","Annual","2014","2014","EUR","Euro","0","units",,,19319,,
"EST","Estonia","M","Monthly","2010","2010","EUR","Euro","0","units",,,278,,
"EST","Estonia","M","Monthly","2011","2011","EUR","Euro","0","units",,,278,,
"EST","Estonia","M","Monthly","2012","2012","EUR","Euro","0","units",,,290,,
"EST","Estonia","M","Monthly","2013","2013","EUR","Euro","0","units",,,320,,
"EST","Estonia","M","Monthly","2014","2014","EUR","Euro","0","units",,,355,,
"BRA","Brazil","M","Monthly","2010","2010","BRL","Brazilian Real","0","units",,,510,,
"BRA","Brazil","M","Monthly","2011","2011","BRL","Brazilian Real","0","units",,,544.17,,
"BRA","Brazil","M","Monthly","2012","2012","BRL","Brazilian Real","0","units",,,622,,
"BRA","Brazil","M","Monthly","2013","2013","BRL","Brazilian Real","0","units",,,678,,
"BRA","Brazil","M","Monthly","2014","2014","BRL","Brazilian Real","0","units",,,724,,
"KOR","Korea","H","Hourly","2010","2010","KRW","Won","0","units",,,4110,,
"KOR","Korea","H","Hourly","2011","2011","KRW","Won","0","units",,,4320,,
"KOR","Korea","H","Hourly","2012","2012","KRW","Won","0","units",,,4580,,
"KOR","Korea","H","Hourly","2013","2013","KRW","Won","0","units",,,4860,,
"KOR","Korea","H","Hourly","2014","2014","KRW","Won","0","units",,,5210,,
"TUR","Turkey","M","Monthly","2010","2010","TRY","Turkish Lira","0","units",,,744.75,,
"TUR","Turkey","M","Monthly","2011","2011","TRY","Turkish Lira","0","units",,,816.75,,
"TUR","Turkey","M","Monthly","2012","2012","TRY","Turkish Lira","0","units",,,913.5,,
"TUR","Turkey","M","Monthly","2013","2013","TRY","Turkish Lira","0","units",,,1000.05,,
"TUR","Turkey","M","Monthly","2014","2014","TRY","Turkish Lira","0","units",,,1002.5,,
"LVA","Latvia","A","Annual","2010","2010","LVL","Latvian Lats","0","units",,,2160,,
"LVA","Latvia","A","Annual","2011","2011","LVL","Latvian Lats","0","units",,,2400,,
"LVA","Latvia","A","Annual","2012","2012","LVL","Latvian Lats","0","units",,,2400,,
"LVA","Latvia","A","Annual","2013","2013","LVL","Latvian Lats","0","units",,,2400,,
"LVA","Latvia","A","Annual","2014","2014","LVL","Latvian Lats","0","units",,,2704,,
"AUS","Australia","W","Weekly","2010","2010","AUD","Australian Dollar","0","units",,,556.84,,
"AUS","Australia","W","Weekly","2011","2011","AUD","Australian Dollar","0","units",,,579.6,,
"AUS","Australia","W","Weekly","2012","2012","AUD","Australian Dollar","0","units",,,597.85,,
"AUS","Australia","W","Weekly","2013","2013","AUD","Australian Dollar","0","units",,,614.3,,
"AUS","Australia","W","Weekly","2014","2014","AUD","Australian Dollar","0","units",,,640.9,,
"HUN","Hungary","M","Monthly","2010","2010","HUF","Forint","0","units",,,73500,,
"HUN","Hungary","M","Monthly","2011","2011","HUF","Forint","0","units",,,78000,,
"HUN","Hungary","M","Monthly","2012","2012","HUF","Forint","0","units",,,93000,,
"HUN","Hungary","M","Monthly","2013","2013","HUF","Forint","0","units",,,98000,,
"HUN","Hungary","M","Monthly","2014","2014","HUF","Forint","0","units",,,101500,,
"ROU","Romania","M","Monthly","2010","2010","RON","Romanian Leu","0","units",,,600,,
"ROU","Romania","M","Monthly","2011","2011","RON","Romanian Leu","0","units",,,670,,
"ROU","Romania","M","Monthly","2012","2012","RON","Romanian Leu","0","units",,,700,,
"ROU","Romania","M","Monthly","2013","2013","RON","Romanian Leu","0","units",,,770.83,,
"ROU","Romania","M","Monthly","2014","2014","RON","Romanian Leu","0","units",,,875,,
"SVK","Slovak Republic","A","Annual","2010","2010","EUR","Euro","0","units",,,3692.4,,
"SVK","Slovak Republic","A","Annual","2011","2011","EUR","Euro","0","units",,,3804,,
"SVK","Slovak Republic","A","Annual","2012","2012","EUR","Euro","0","units",,,3926.4,,
"SVK","Slovak Republic","A","Annual","2013","2013","EUR","Euro","0","units",,,4052,,
